matched,noise,pct_error,route_name,sample_rate,segment_id
True,5.0,-0.0878423383202,Sealtech Caulking & Wtrprfng_to_Keizer Associates,5.0,521737885600
True,5.0,-0.185923253052,Sealtech Caulking & Wtrprfng_to_Keizer Associates,5.0,799333701536
True,5.0,-0.0532555931611,Sealtech Caulking & Wtrprfng_to_Keizer Associates,10.0,282193139337
True,5.0,-0.296028007565,Sealtech Caulking & Wtrprfng_to_Keizer Associates,10.0,320612963977
True,5.0,0.207038623994,Sealtech Caulking & Wtrprfng_to_Keizer Associates,10.0,481573574281
True,5.0,0.110105111031,Sealtech Caulking & Wtrprfng_to_Keizer Associates,10.0,498149119904
True,5.0,0.00588134422806,Sealtech Caulking & Wtrprfng_to_Keizer Associates,10.0,498182674336
True,5.0,-0.106568963644,Sealtech Caulking & Wtrprfng_to_Keizer Associates,10.0,518751541152
True,5.0,-0.0949130212172,Sealtech Caulking & Wtrprfng_to_Keizer Associates,10.0,521737885600
True,5.0,-0.322785823269,Sealtech Caulking & Wtrprfng_to_Keizer Associates,10.0,799333701536
True,5.0,-0.361293830257,Sealtech Caulking & Wtrprfng_to_Keizer Associates,20.0,282193139337
True,5.0,-0.195876340244,Sealtech Caulking & Wtrprfng_to_Keizer Associates,20.0,320612963977
True,5.0,-0.0705747135773,Sealtech Caulking & Wtrprfng_to_Keizer Associates,20.0,481573574281
True,5.0,0.116699005131,Sealtech Caulking & Wtrprfng_to_Keizer Associates,20.0,498149119904
True,5.0,0.00351659942639,Sealtech Caulking & Wtrprfng_to_Keizer Associates,20.0,498182674336
True,5.0,-0.10226049147,Sealtech Caulking & Wtrprfng_to_Keizer Associates,20.0,518751541152
True,5.0,-0.100183906349,Sealtech Caulking & Wtrprfng_to_Keizer Associates,20.0,521737885600
True,5.0,-0.389730320111,Sealtech Caulking & Wtrprfng_to_Keizer Associates,20.0,799333701536
True,5.0,-0.515655410296,Sealtech Caulking & Wtrprfng_to_Keizer Associates,30.0,282193139337
True,5.0,-0.200849112178,Sealtech Caulking & Wtrprfng_to_Keizer Associates,30.0,320612963977
True,5.0,-0.120190565761,Sealtech Caulking & Wtrprfng_to_Keizer Associates,30.0,481573574281
True,5.0,0.284153003234,Sealtech Caulking & Wtrprfng_to_Keizer Associates,30.0,498149119904
True,5.0,-0.0628142542205,Sealtech Caulking & Wtrprfng_to_Keizer Associates,30.0,498182674336
True,5.0,-0.0976760239932,Sealtech Caulking & Wtrprfng_to_Keizer Associates,30.0,518751541152
True,5.0,-0.13291139415,Sealtech Caulking & Wtrprfng_to_Keizer Associates,30.0,521737885600
True,5.0,-0.381763097833,Sealtech Caulking & Wtrprfng_to_Keizer Associates,30.0,799333701536
True,10.0,0.0260620978587,Sealtech Caulking & Wtrprfng_to_Keizer Associates,1.0,282193139337
True,10.0,-0.236271320936,Sealtech Caulking & Wtrprfng_to_Keizer Associates,1.0,320612963977
True,10.0,-0.110695773137,Sealtech Caulking & Wtrprfng_to_Keizer Associates,1.0,481573574281
True,10.0,0.0279215566201,Sealtech Caulking & Wtrprfng_to_Keizer Associates,1.0,498149119904
True,10.0,-0.00949616374512,Sealtech Caulking & Wtrprfng_to_Keizer Associates,1.0,498182674336
True,10.0,-0.0823063391838,Sealtech Caulking & Wtrprfng_to_Keizer Associates,1.0,518751541152
True,10.0,-0.0474645354296,Sealtech Caulking & Wtrprfng_to_Keizer Associates,1.0,521737885600
True,10.0,-0.1019551435,Sealtech Caulking & Wtrprfng_to_Keizer Associates,1.0,799333701536
